0,1,2,3,4
33.0,86.0,33.68,23.88,4.0
30.0,85.0,33.68,23.88,5.0
33.0,84.0,33.68,23.88,5.0
33.0,85.0,33.68,23.88,5.0
32.0,85.0,33.68,23.88,5.0
29.0,85.0,33.68,23.88,5.0
28.0,85.0,33.68,23.88,5.0
29.0,85.0,33.68,23.88,2.0
31.0,85.0,33.68,23.88,2.0
27.0,84.0,33.68,23.88,2.0
29.0,85.0,33.68,23.88,2.0
32.0,84.0,33.68,23.88,2.0
35.0,85.0,33.68,23.88,2.0
29.0,85.0,33.68,23.88,2.0
29.0,85.0,33.68,23.88,2.0
29.0,85.0,33.68,23.88,2.0
27.0,85.0,33.68,23.88,2.0
28.0,85.0,33.68,23.88,2.0
27.0,85.0,33.68,23.88,2.0
27.0,85.0,33.68,23.88,3.0
35.0,85.0,33.68,23.88,3.0
39.0,84.0,33.68,23.88,3.0
43.0,85.0,33.68,23.88,3.0
48.0,85.0,33.68,23.88,3.0
43.0,85.0,33.68,23.88,3.0
37.0,85.0,33.68,23.88,4.0
32.0,86.0,33.68,23.88,4.0
30.0,86.0,33.68,23.88,4.0
25.0,84.0,33.68,23.88,4.0
32.0,83.0,33.68,23.88,4.0
38.0,84.0,33.68,23.88,4.0
26.0,83.0,33.69,23.88,3.0
24.0,83.0,33.69,23.88,3.0
24.0,82.0,33.69,23.88,3.0
28.0,83.0,33.69,23.88,3.0
34.0,83.0,33.69,23.88,3.0
30.0,83.0,33.69,23.88,3.0
29.0,84.0,33.69,23.88,2.0
29.0,84.0,33.69,23.88,2.0
31.0,84.0,33.69,23.88,2.0
30.0,84.0,33.69,23.88,2.0
31.0,85.0,33.69,23.88,2.0
31.0,85.0,33.69,23.88,2.0
29.0,85.0,33.69,23.88,2.0
29.0,85.0,33.69,23.88,2.0
29.0,85.0,33.69,23.88,2.0
31.0,86.0,33.69,23.88,2.0
32.0,86.0,33.69,23.88,2.0
35.0,87.0,33.69,23.88,2.0
35.0,87.0,33.69,23.89,4.0
36.0,87.0,33.69,23.89,4.0
34.0,88.0,33.69,23.89,4.0
34.0,89.0,33.69,23.89,4.0
34.0,89.0,33.69,23.89,4.0
38.0,90.0,33.69,23.89,4.0
37.0,90.0,33.69,23.89,10.0
40.0,90.0,33.69,23.89,10.0
40.0,90.0,33.69,23.89,10.0
37.0,90.0,33.69,23.89,10.0
38.0,89.0,33.69,23.89,10.0
35.0,86.0,33.69,23.89,10.0
35.0,86.0,33.69,23.89,4.0
34.0,86.0,33.69,23.89,4.0
42.0,85.0,33.69,23.89,4.0
38.0,85.0,33.69,23.89,4.0
