,machine_id,time_stamp,cpu_util_precent,mem_util_percent,net_in,net_out,disk_io_percent
0,m_1831,0,22,92,38.19,31.53,4
1,m_1831,10,24,91,38.19,31.53,4
2,m_1831,20,22,91,38.19,31.53,4
3,m_1831,30,25,91,38.19,31.53,4
4,m_1831,40,32,91,38.19,31.53,4
5,m_1831,50,16,91,38.19,31.53,4
6,m_1831,60,38,91,38.19,31.53,5
7,m_1831,70,19,91,38.19,31.53,5
8,m_1831,80,15,90,38.19,31.53,5
9,m_1831,90,23,91,38.19,31.53,5
10,m_1831,100,23,90,38.19,31.53,5
11,m_1831,110,23,90,38.19,31.53,5
12,m_1831,120,27,90,38.19,31.53,5
13,m_1831,130,36,90,38.19,31.53,5
14,m_1831,140,14,90,38.19,31.53,5
15,m_1831,150,16,90,38.19,31.53,5
16,m_1831,160,26,90,38.19,31.53,5
17,m_1831,170,20,90,38.19,31.53,5
18,m_1831,180,22,90,38.19,31.53,4
19,m_1831,190,32,90,38.19,31.53,4
20,m_1831,200,13,91,38.19,31.53,4
21,m_1831,210,20,91,38.19,31.53,4
22,m_1831,220,27,91,38.19,31.53,4
23,m_1831,230,19,90,38.19,31.53,4
24,m_1831,240,23,90,38.19,31.53,4
25,m_1831,250,27,91,38.19,31.53,4
26,m_1831,260,14,91,38.19,31.53,4
27,m_1831,270,21,91,38.19,31.53,4
28,m_1831,280,24,90,38.19,31.53,4
29,m_1831,290,19,90,38.19,31.53,4
30,m_1831,300,22,90,38.19,31.53,4
31,m_1831,310,33,90,38.19,31.53,4
32,m_1831,320,17,90,38.19,31.53,4
33,m_1831,330,21,91,38.19,31.53,4
34,m_1831,340,33,91,38.19,31.53,4
35,m_1831,350,15,91,38.19,31.53,4
36,m_1831,360,34,92,38.19,31.53,4
37,m_1831,370,37,92,38.19,31.53,4
38,m_1831,380,31,92,38.19,31.53,4
39,m_1831,390,25,93,38.19,31.53,4
40,m_1831,400,27,93,38.19,31.53,4
41,m_1831,410,30,94,38.19,31.53,4
42,m_1831,420,30,95,38.2,31.53,5
43,m_1831,430,35,95,38.2,31.53,5
44,m_1831,440,30,95,38.2,31.53,5
45,m_1831,450,33,96,38.2,31.53,5
46,m_1831,460,33,97,38.2,31.53,5
47,m_1831,470,37,98,38.2,31.53,5
48,m_1831,480,34,97,38.2,31.53,5
49,m_1831,490,39,97,38.2,31.53,5
50,m_1831,500,35,96,38.2,31.53,5
51,m_1831,510,39,97,38.2,31.53,5
52,m_1831,520,28,97,38.2,31.53,5
53,m_1831,530,27,97,38.2,31.53,5
54,m_1831,540,35,96,38.2,31.53,6
55,m_1831,550,29,95,38.2,31.53,6
56,m_1831,560,25,95,38.2,31.53,6
57,m_1831,570,30,96,38.2,31.53,6
58,m_1831,580,40,96,38.2,31.53,6
59,m_1831,590,30,96,38.2,31.53,6
60,m_1831,600,33,97,38.2,31.53,10
61,m_1831,610,40,97,38.2,31.53,10
62,m_1831,620,36,96,38.2,31.53,10
63,m_1831,630,34,96,38.2,31.53,10
64,m_1831,640,33,95,38.2,31.53,10
65,m_1831,650,49,95,38.2,31.53,10
66,m_1831,660,34,95,38.2,31.53,8
67,m_1831,670,33,94,38.2,31.53,8
68,m_1831,680,32,94,38.2,31.53,8
69,m_1831,690,29,94,38.2,31.53,8
70,m_1831,700,28,94,38.2,31.53,8
71,m_1831,710,28,94,38.2,31.53,8
72,m_1831,720,28,93,38.2,31.53,5
73,m_1831,730,28,93,38.2,31.53,5
74,m_1831,740,26,94,38.2,31.53,5
75,m_1831,750,25,94,38.2,31.53,5
76,m_1831,760,28,94,38.2,31.53,5
77,m_1831,770,43,94,38.2,31.54,5
78,m_1831,780,28,93,38.2,31.54,5
79,m_1831,790,31,94,38.2,31.54,5
80,m_1831,800,27,94,38.2,31.54,5
81,m_1831,810,27,92,38.2,31.54,5
82,m_1831,820,31,93,38.2,31.54,5
83,m_1831,830,31,93,38.2,31.54,5
84,m_1831,840,30,93,38.2,31.54,5
85,m_1831,850,33,94,38.2,31.54,5
86,m_1831,860,26,92,38.2,31.54,5
87,m_1831,870,23,92,38.2,31.54,5
88,m_1831,880,21,92,38.2,31.54,5
89,m_1831,890,24,92,38.2,31.54,5
90,m_1831,900,30,91,38.2,31.54,6
91,m_1831,910,36,92,38.2,31.54,6
92,m_1831,920,20,92,38.2,31.54,6
93,m_1831,940,29,93,38.2,31.54,6
94,m_1831,950,40,93,38.2,31.54,6
95,m_1831,960,28,92,38.2,31.54,4
96,m_1831,970,48,92,38.2,31.54,4
97,m_1831,980,27,92,38.2,31.54,4
98,m_1831,990,26,92,38.2,31.54,4
99,m_1831,1000,31,92,38.2,31.54,4
100,m_1831,1010,31,92,38.2,31.54,4
101,m_1831,1020,32,92,38.2,31.54,5
102,m_1831,1030,31,92,38.2,31.54,5
103,m_1831,1040,32,91,38.2,31.54,5
104,m_1831,1050,39,92,38.2,31.54,5
105,m_1831,1060,37,92,38.2,31.54,5
106,m_1831,1070,36,92,38.2,31.54,5
107,m_1831,1080,38,92,38.2,31.54,8
108,m_1831,1090,38,92,38.2,31.54,8
109,m_1831,1100,54,93,38.2,31.54,8
110,m_1831,1110,38,93,38.2,31.54,8
111,m_1831,1120,38,93,38.2,31.54,8
112,m_1831,1130,40,93,38.2,31.54,8
113,m_1831,1140,35,94,38.2,31.54,6
114,m_1831,1150,39,94,38.21,31.54,6
115,m_1831,1160,39,94,38.21,31.54,6
116,m_1831,1170,38,94,38.21,31.54,6
117,m_1831,1180,36,94,38.21,31.54,6
118,m_1831,1190,29,95,38.21,31.54,6
119,m_1831,1200,32,95,38.21,31.54,7
120,m_1831,1210,36,95,38.21,31.54,7
121,m_1831,1220,35,95,38.21,31.54,7
122,m_1831,1230,27,95,38.21,31.54,7
123,m_1831,1240,31,94,38.21,31.54,7
124,m_1831,1250,38,95,38.21,31.54,7
125,m_1831,1260,34,96,38.21,31.54,5
126,m_1831,1270,36,96,38.21,31.54,5
127,m_1831,1280,35,97,38.21,31.54,5
128,m_1831,1290,41,96,38.21,31.54,5
129,m_1831,1300,24,96,38.21,31.54,5
130,m_1831,1310,25,95,38.21,31.54,5
131,m_1831,1320,25,94,38.21,31.54,6
132,m_1831,1330,44,95,38.21,31.54,6
133,m_1831,1340,25,95,38.21,31.54,6
134,m_1831,1350,24,96,38.21,31.54,6
135,m_1831,1360,27,95,38.21,31.54,6
136,m_1831,1370,31,95,38.21,31.54,6
137,m_1831,1380,34,94,38.21,31.54,6
138,m_1831,1390,27,95,38.21,31.54,6
139,m_1831,1400,31,94,38.21,31.54,6
140,m_1831,1410,30,94,38.21,31.54,6
141,m_1831,1420,24,95,38.21,31.54,6
142,m_1831,1430,23,95,38.21,31.54,6
143,m_1831,1440,34,94,38.21,31.54,5
144,m_1831,1450,26,94,38.21,31.54,5
145,m_1831,1460,37,95,38.21,31.54,5
146,m_1831,1470,38,94,38.21,31.54,5
147,m_1831,1480,27,94,38.21,31.54,5
148,m_1831,1490,25,94,38.21,31.54,5
149,m_1831,1500,23,95,38.21,31.54,5
150,m_1831,1510,34,95,38.21,31.54,5
151,m_1831,1520,31,95,38.21,31.54,5
152,m_1831,1530,39,95,38.21,31.54,5
153,m_1831,1540,27,95,38.21,31.54,5
154,m_1831,1550,31,95,38.21,31.54,5
155,m_1831,1560,30,95,38.21,31.54,5
156,m_1831,1570,34,96,38.21,31.54,5
157,m_1831,1580,24,96,38.21,31.54,5
158,m_1831,1590,27,96,38.21,31.54,5
159,m_1831,1600,40,96,38.21,31.54,5
160,m_1831,1610,25,96,38.21,31.54,5
161,m_1831,1620,24,97,38.21,31.55,4
162,m_1831,1630,29,97,38.21,31.55,4
163,m_1831,1640,49,98,38.21,31.55,4
164,m_1831,1650,32,98,38.21,31.55,4
165,m_1831,1660,30,97,38.21,31.55,4
166,m_1831,1670,29,97,38.21,31.55,4
167,m_1831,1680,28,97,38.21,31.55,4
168,m_1831,1690,25,96,38.21,31.55,4
169,m_1831,1700,24,96,38.21,31.55,4
170,m_1831,1710,27,96,38.21,31.55,4
171,m_1831,1720,29,96,38.21,31.55,4
172,m_1831,1730,24,96,38.21,31.55,4
173,m_1831,1740,28,96,38.21,31.55,4
174,m_1831,1750,27,95,38.21,31.55,4
175,m_1831,1760,27,95,38.21,31.55,4
176,m_1831,1770,24,95,38.21,31.55,4
177,m_1831,1780,34,95,38.21,31.55,4
178,m_1831,1790,25,96,38.21,31.55,4
179,m_1831,1800,25,96,38.21,31.55,4
180,m_1831,1810,48,95,38.21,31.55,4
181,m_1831,1820,23,95,38.21,31.55,4
182,m_1831,1830,23,95,38.21,31.55,4
183,m_1831,1840,47,95,38.22,31.55,4
184,m_1831,1850,27,95,38.22,31.55,4
185,m_1831,1860,24,96,38.22,31.55,4
186,m_1831,1870,28,96,38.22,31.55,4
187,m_1831,1880,24,96,38.22,31.55,4
188,m_1831,1890,23,95,38.22,31.55,4
189,m_1831,1900,29,95,38.22,31.55,4
190,m_1831,1910,29,96,38.22,31.55,4
191,m_1831,1920,22,95,38.22,31.55,5
192,m_1831,1930,25,95,38.22,31.55,5
193,m_1831,1940,16,92,38.22,31.55,5
194,m_1831,1950,24,92,38.22,31.55,5
195,m_1831,1960,25,92,38.22,31.55,5
196,m_1831,1970,27,92,38.22,31.55,5
197,m_1831,1980,34,93,38.22,31.55,5
198,m_1831,1990,22,93,38.22,31.55,5
199,m_1831,2000,41,92,38.22,31.55,5
200,m_1831,2010,19,92,38.22,31.55,5
201,m_1831,2020,20,92,38.22,31.55,5
202,m_1831,2040,32,92,38.22,31.55,4
203,m_1831,2050,27,92,38.22,31.55,4
204,m_1831,2060,27,92,38.22,31.55,4
205,m_1831,2070,28,92,38.22,31.55,4
206,m_1831,2080,29,93,38.22,31.55,4
207,m_1831,2090,19,93,38.22,31.55,4
208,m_1831,2100,33,93,38.22,31.55,4
209,m_1831,2110,22,93,38.22,31.55,4
210,m_1831,2120,23,93,38.22,31.55,4
211,m_1831,2130,33,93,38.22,31.55,4
212,m_1831,2140,26,92,38.22,31.55,4
213,m_1831,2150,40,92,38.22,31.55,4
214,m_1831,2160,20,92,38.22,31.55,5
215,m_1831,2170,36,92,38.22,31.55,5
216,m_1831,2180,20,92,38.22,31.55,5
217,m_1831,2190,29,92,38.22,31.55,5
218,m_1831,2200,25,92,38.22,31.55,5
219,m_1831,2210,25,92,38.22,31.55,5
220,m_1831,2220,29,92,38.22,31.55,5
221,m_1831,2230,20,92,38.22,31.55,5
222,m_1831,2240,31,92,38.22,31.55,5
223,m_1831,2250,30,92,38.22,31.55,5
224,m_1831,2260,45,93,38.22,31.55,5
225,m_1831,2270,49,93,38.22,31.55,5
226,m_1831,2280,41,93,38.22,31.55,9
227,m_1831,2290,40,93,38.22,31.55,9
228,m_1831,2300,19,93,38.22,31.55,9
229,m_1831,2310,40,93,38.22,31.55,9
230,m_1831,2320,22,93,38.22,31.55,9
231,m_1831,2330,21,93,38.22,31.55,9
232,m_1831,2340,27,93,38.22,31.55,5
233,m_1831,2350,28,93,38.22,31.55,5
234,m_1831,2360,33,93,38.22,31.55,5
235,m_1831,2370,29,93,38.22,31.55,5
236,m_1831,2380,38,93,38.22,31.55,5
237,m_1831,2390,21,93,38.22,31.55,5
238,m_1831,2400,41,93,38.22,31.55,4
239,m_1831,2410,26,94,38.22,31.55,4
240,m_1831,2420,27,94,38.22,31.55,4
241,m_1831,2430,24,93,38.22,31.55,4
242,m_1831,2440,29,94,38.22,31.55,4
243,m_1831,2450,37,95,38.22,31.55,4
244,m_1831,2460,23,96,38.22,31.55,4
245,m_1831,2470,44,96,38.22,31.55,4
246,m_1831,2480,25,97,38.22,31.55,4
247,m_1831,2490,39,97,38.22,31.55,4
248,m_1831,2500,30,98,38.22,31.55,4
249,m_1831,2510,40,96,38.22,31.55,4
250,m_1831,2520,34,96,38.22,31.55,101
251,m_1831,2530,35,94,38.22,31.55,101
252,m_1831,2540,24,94,38.22,31.55,101
253,m_1831,2550,31,94,38.22,31.55,101
254,m_1831,2560,18,94,38.22,31.55,101
255,m_1831,2570,30,95,38.22,31.55,101
256,m_1831,2580,18,95,38.22,31.55,5
257,m_1831,2590,41,95,38.22,31.55,5
258,m_1831,2600,20,95,38.22,31.55,5
259,m_1831,2610,21,95,38.22,31.55,5
260,m_1831,2620,22,95,38.22,31.55,5
261,m_1831,2630,26,95,38.22,31.55,5
262,m_1831,2640,27,94,38.22,31.55,4
263,m_1831,2650,29,94,38.22,31.55,4
264,m_1831,2660,33,94,38.22,31.55,4
265,m_1831,2670,25,93,38.22,31.55,4
266,m_1831,2680,36,93,38.22,31.55,4
267,m_1831,2690,20,93,38.22,31.55,4
268,m_1831,2700,36,93,38.22,31.55,4
269,m_1831,2710,24,93,38.22,31.55,4
270,m_1831,2740,27,93,38.22,31.55,4
271,m_1831,2750,23,93,38.22,31.55,4
272,m_1831,2760,25,94,38.22,31.55,4
273,m_1831,2770,33,94,38.22,31.55,4
274,m_1831,2780,29,94,38.22,31.55,4
275,m_1831,2790,22,94,38.22,31.55,4
276,m_1831,2800,36,94,38.22,31.55,4
277,m_1831,2810,21,94,38.22,31.55,4
278,m_1831,2820,36,92,38.22,31.55,4
279,m_1831,2830,23,92,38.23,31.55,4
280,m_1831,2840,20,93,38.23,31.55,4
281,m_1831,2850,27,92,38.23,31.55,4
282,m_1831,2860,32,92,38.23,31.56,4
283,m_1831,2870,21,92,38.23,31.56,4
284,m_1831,2880,34,93,38.23,31.56,4
285,m_1831,2890,34,93,38.23,31.56,4
286,m_1831,2900,36,93,38.23,31.56,4
287,m_1831,2910,23,93,38.23,31.56,4
288,m_1831,2920,42,94,38.23,31.56,4
289,m_1831,2930,27,94,38.23,31.56,4
290,m_1831,2940,25,94,38.23,31.56,5
291,m_1831,2950,34,94,38.23,31.56,5
292,m_1831,2960,29,93,38.23,31.56,5
293,m_1831,2970,29,94,38.23,31.56,5
294,m_1831,2980,32,94,38.23,31.56,5
295,m_1831,2990,31,93,38.23,31.56,5
296,m_1831,3000,19,93,38.23,31.56,5
297,m_1831,3010,43,94,38.23,31.56,5
298,m_1831,3020,22,94,38.23,31.56,5
299,m_1831,3030,43,94,38.23,31.56,5
300,m_1831,3040,27,95,38.23,31.56,5
301,m_1831,3050,30,95,38.23,31.56,5
302,m_1831,3060,37,95,38.23,31.56,5
303,m_1831,3070,41,95,38.23,31.56,5
304,m_1831,3080,33,94,38.23,31.56,5
305,m_1831,3090,30,94,38.23,31.56,5
306,m_1831,3100,23,94,38.23,31.56,5
307,m_1831,3110,34,94,38.23,31.56,5
308,m_1831,3120,23,94,38.23,31.56,5
309,m_1831,3130,38,94,38.23,31.56,5
310,m_1831,3140,23,94,38.23,31.56,5
311,m_1831,3150,21,94,38.23,31.56,5
312,m_1831,3160,39,94,38.23,31.56,5
313,m_1831,3170,23,95,38.23,31.56,5
314,m_1831,3180,24,95,38.23,31.56,6
315,m_1831,3190,35,95,38.23,31.56,6
316,m_1831,3200,34,94,38.23,31.56,6
317,m_1831,3210,25,93,38.23,31.56,6
318,m_1831,3220,31,93,38.23,31.56,6
319,m_1831,3230,35,93,38.23,31.56,6
320,m_1831,3240,22,93,38.23,31.56,4
321,m_1831,3250,40,94,38.23,31.56,4
322,m_1831,3260,23,94,38.23,31.56,4
323,m_1831,3270,23,93,38.23,31.56,4
324,m_1831,3280,27,93,38.23,31.56,4
325,m_1831,3290,27,93,38.23,31.56,4
326,m_1831,3300,20,93,38.23,31.56,5
327,m_1831,3310,31,93,38.23,31.56,5
328,m_1831,3320,32,93,38.23,31.56,5
329,m_1831,3330,19,93,38.23,31.56,5
330,m_1831,3340,31,93,38.23,31.56,5
331,m_1831,3350,23,93,38.23,31.56,5
332,m_1831,3360,19,93,38.23,31.56,5
333,m_1831,3370,20,94,38.23,31.56,5
334,m_1831,3380,27,94,38.23,31.56,5
335,m_1831,3390,25,94,38.23,31.56,5
336,m_1831,3400,28,94,38.23,31.56,5
337,m_1831,3410,27,94,38.23,31.56,5
338,m_1831,3420,21,95,38.23,31.56,4
339,m_1831,3430,36,95,38.23,31.56,4
340,m_1831,3440,25,95,38.23,31.56,4
341,m_1831,3450,35,95,38.23,31.56,4
342,m_1831,3460,21,95,38.23,31.56,4
343,m_1831,3470,29,95,38.23,31.56,4
344,m_1831,3480,28,95,38.23,31.56,4
345,m_1831,3490,28,95,38.23,31.56,4
346,m_1831,3500,29,95,38.23,31.56,4
